u,v,length
42428411,42452817,168.646
42428420,42445479,144.452
42428420,5706569905,76.531
42428425,42453777,176.704
42428425,42428420,77.03200000000001
42428428,42445484,151.77100000000002
42428428,42428425,80.04599999999999
42428431,42428428,68.025
42428433,42440820,83.639
42428433,5706569898,156.661
42428433,42428431,32.796
42428434,42428433,70.981
42428434,42439583,80.673
42428436,42428434,120.86800000000001
42428436,42452048,81.18599999999999
42428438,42432156,80.506
42428438,42428436,123.808
42428441,42442255,80.693
42428441,42428438,162.774
42428444,42428441,160.35299999999998
42428444,42449576,80.583
42428447,1919595915,15.427
42428447,42448552,83.619
42428454,42445520,115.282
42428454,1692433919,90.25599999999999
42428458,42440545,82.289
42428458,42428454,81.295
42428460,42445534,111.158
42428460,42428458,77.429
42428464,42449582,80.579
42428464,42428460,78.758
42428468,42428464,75.60300000000001
42428471,42439236,122.196
42428471,42428468,65.858
42428473,42445543,124.22899999999998
42428473,42428471,68.943
42428476,42449045,228.959
42428476,42428473,74.558
42428480,42430872,106.882
42428480,42428476,75.135
42428483,42455026,195.914
42428483,42428480,79.78899999999999
42428489,42446528,104.797
42428489,42428483,86.332
42428491,42436935,125.504
42428491,42428489,86.44000000000001
42428493,42440721,80.978
42428493,42428491,92.15200000000002
42428493,42438784,95.342
42428524,42431877,136.843
42428524,42444480,52.916
42428529,42428524,104.88799999999999
42428570,1241742627,204.73499999999996
42428570,1825841655,72.63300000000001
42428575,1241742563,111.836
42428575,42421972,91.077
42428579,42428575,91.55300000000001
42428579,42443313,66.836
42428588,42443313,117.13799999999999
42428588,42428579,135.789
42428590,42428588,47.8
42428590,6173564360,19.826999999999998
42428595,42428590,93.14099999999999
42428595,42439464,199.906
42428598,42429999,158.39600000000002
42428598,42428595,88.845
42428601,1061531787,18.574
42428601,42428598,89.772
42428604,42428601,89.14899999999999
42428604,1733614298,77.59100000000001
42428610,1061531597,20.851
42428610,42428604,90.53999999999999
42428634,42431004,234.153
42428634,1061531448,94.125
42428634,6207264908,42.576
42428637,42431005,207.60500000000002
42428637,42428634,90.603
42428640,1061531500,20.195
42428640,42428637,85.06400000000001
42428645,1061531566,18.734
42428645,11655721360,83.129
42428648,42431015,116.675
42428648,42428645,84.07400000000001
42428653,1061531454,19.501
42428653,42431019,104.79500000000002
42428653,42428065,87.02799999999999
42428657,42431024,105.40599999999999
42428657,42421775,81.37700000000001
42428661,11655721350,18.856
42428661,42428657,80.799
42428663,42428661,79.815
42428663,42431030,107.57400000000001
42428670,42421809,81.139
42428670,42431034,114.874
42428674,1061531603,16.849
42428674,42431037,120.85199999999999
42428674,42428670,87.444
42428678,42428674,85.675
42428678,42431039,126.851
42428682,1061531810,16.591
42428682,42428678,80.092
42428689,1061531682,17.181
42428689,42422006,79.43799999999999
42428695,42428689,81.333
42428695,42431067,127.90500000000002
42428701,1061531736,17.38
42428701,42428695,78.783
42428705,42428701,79.647
42428705,42431089,127.293
